"code", "description"
"011.46","Pulmonary tuberculosis; Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.5","Pulmonary tuberculosis; Tuberculous bronchiectasis"
"011.50","Pulmonary tuberculosis; Tuberculous bronchiectasis, unspecified"
"011.51","Pulmonary tuberculosis; Tuberculous bronchiectasis, bacteriological or histological examination not done"
"011.52","Pulmonary tuberculosis; Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
"011.53","Pulmonary tuberculosis; Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
"011.54","Pulmonary tuberculosis; Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.55","Pulmonary tuberculosis; Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.56","Pulmonary tuberculosis; Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.6","Pulmonary tuberculosis; Tuberculous pneumonia [any form]"
"011.60","Pulmonary tuberculosis; Tuberculous pneumonia [any form], unspecified"
"011.61","Pulmonary tuberculosis; Tuberculous pneumonia [any form], bacteriological or histological examination not done"
"011.62","Pulmonary tuberculosis; Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
"011.63","Pulmonary tuberculosis; Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
"011.64","Pulmonary tuberculosis; Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.65","Pulmonary tuberculosis; Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.66","Pulmonary tuberculosis; Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.7","Pulmonary tuberculosis; Tuberculous pneumothorax"
"011.70","Pulmonary tuberculosis; Tuberculous pneumothorax, unspecified"
"011.71","Pulmonary tuberculosis; Tuberculous pneumothorax, bacteriological or histological examination not done"
"011.72","Pulmonary tuberculosis; Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
"011.73","Pulmonary tuberculosis; Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
"011.74","Pulmonary tuberculosis; Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.75","Pulmonary tuberculosis; Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.76","Pulmonary tuberculosis; Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.8","Pulmonary tuberculosis; Other specified pulmonary tuberculosis"
"011.80","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, unspecified"
"011.81","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
"011.82","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
"011.83","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"011.84","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.85","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.86","Pulmonary tuberculosis; Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"011.9","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified"
"011.90","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, unspecified"
"011.91","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
"011.92","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
"011.93","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
"011.94","Pulmonary tuberculosis; tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"011.95","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"011.96","Pulmonary tuberculosis; Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"012","Other respiratory tuberculosis"
"012.0","Other respiratory tuberculosis; Tuberculous pleurisy"
"012.00","Other respiratory tuberculosis; Tuberculous pleurisy, unspecified"
"012.01","Other respiratory tuberculosis; Tuberculous pleurisy, bacteriological or histological examination not done"
"012.02","Other respiratory tuberculosis; Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
"012.03","Other respiratory tuberculosis; Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
"012.04","Other respiratory tuberculosis; Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"012.05","Other respiratory tuberculosis; Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"012.06","Other respiratory tuberculosis; Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"012.1","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes"
"012.10","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, unspecified"
"012.11","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
"012.12","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
"012.13","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
"012.14","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"012.15","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"012.16","Other respiratory tuberculosis; Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"012.2","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis"
"012.20","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, unspecified"
"012.21","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
"012.22","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
"012.23","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"012.24","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"012.25","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"012.26","Other respiratory tuberculosis; Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"012.3","Other respiratory tuberculosis; Tuberculous laryngitis"
"012.30","Other respiratory tuberculosis; Tuberculous laryngitis, unspecified"
"012.31","Other respiratory tuberculosis; Tuberculous laryngitis, bacteriological or histological examination not done"
"012.32","Other respiratory tuberculosis; Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
"012.33","Other respiratory tuberculosis; Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
"012.34","Other respiratory tuberculosis; Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"012.35","Other respiratory tuberculosis; Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"012.36","Other respiratory tuberculosis; Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"012.8","Other respiratory tuberculosis; Other specified respiratory tuberculosis"
"012.80","Other respiratory tuberculosis; Other specified respiratory tuberculosis, unspecified"
"012.81","Other respiratory tuberculosis; Other specified respiratory tuberculosis, bacteriological or histological examination not done"
"012.82","Other respiratory tuberculosis; Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
"012.83","Other respiratory tuberculosis; Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
"012.84","Other respiratory tuberculosis; Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"012.85","Other respiratory tuberculosis; Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"012.86","Other respiratory tuberculosis; Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013","Tuberculosis of meninges and central nervous system"
"013.0","Tuberculosis of meninges and central nervous system; Tuberculous meningitis"
"013.00","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, unspecified"
"013.01","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, bacteriological or histological examination not done"
"013.02","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
"013.03","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
"013.04","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.05","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.06","Tuberculosis of meninges and central nervous system; Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.1","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges"
"013.10","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, unspecified"
"013.11","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, bacteriological or histological examination not done"
"013.12","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
"013.13","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
"013.14","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.15","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.16","Tuberculosis of meninges and central nervous system; Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.2","Tuberculosis of meninges and central nervous system; Tuberculoma of brain"
"013.20","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, unspecified"
"013.21","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, bacteriological or histological examination not done"
"013.22","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
"013.23","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
"013.24","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.25","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.26","Tuberculosis of meninges and central nervous system; Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.3","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain"
"013.30","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, unspecified"
"013.31","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, bacteriological or histological examination not done"
"013.32","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
"013.33","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
"013.34","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.35","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.36","Tuberculosis of meninges and central nervous system; Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.4","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord"
"013.40","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, unspecified"
"013.41","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, bacteriological or histological examination not done"
"013.42","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)"
"013.43","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
"013.44","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.45","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.46","Tuberculosis of meninges and central nervous system; Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.5","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord"
"013.50","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, unspecified"
"013.51","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
"013.52","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
"013.53","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
"013.54","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
"013.55","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
"013.56","Tuberculosis of meninges and central nervous system; Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
"013.6","Tuberculosis of meninges and central nervous system; Tuberculous encephalitis or myelitis"
"013.60","Tuberculosis of meninges and central nervous system; Tuberculous encephalitis or myelitis, unspecified"
"013.61","Tuberculosis of meninges and central nervous system; Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
